,drVersion,inputFileName,sessionId,serviceProvider,flow,ip1Loc,port1Loc,ip2Loc,port2Loc,ip1Net,port1Net,ip2Net,port2Net,mediaType,sessionStartTime,sessionBindingDelay,streamingStartTime,streamingEndTime,streamingDuration,sessionDuration,avgMos,sdvMos,avgTransportScore,sdvTransportScore,totPoorScores,totPoorScoresDuration,transportProtocol,protocolCause,ssrc,ssrcAux,avgBr,sdvBr,avgFps,sdvFps,totalMB,fecMB,totalAuxMB,fecAuxMB,seenPack,missedPack,redPack,fecPack,auxSeenPack,auxMissedPack,redAuxPack,fecAuxPack,sdpAvailable,codec,redCodec,fecCodec,auxCodec,redAuxCodec,fecAuxCodec,partialRecord,appliedModel,probe,instance,GTPIpUL,GTPIpDL,GTPTeidUL,GTPTeidDL,qfi
0,21_01_236_988741304,Teams-2022-02-03-PTP-FernAV-PierA-Impairments.pcapng,4171557375952179528,Teams,0,192.168.100.25,50006,5.170.216.26,33726,92.223.249.51,50006,5.170.216.26,33726,Audio,2022-02-03 16:13:55.185,2.14,2022-02-03 16:14:01.448,2022-02-03 16:28:03.979,842.53,970.66,,,,,,,101,0-000,0x1b64,,46.43,24.66,42.54,10.98,4.89,0.00,,,35900,5240,14455,0,,,,,0,Satin;16000;60,Redundancy;8000;130,,,,,1,P1201;;LR,nth2,01,,,,,
1,21_01_236_988741304,Teams-2022-02-03-PTP-FernAV-PierA-Impairments.pcapng,4171557375952179528,Teams,1,5.170.216.26,33726,192.168.100.25,50006,5.170.216.26,33726,92.223.249.51,50006,Audio,2022-02-03 16:13:55.185,2.14,2022-02-03 16:14:01.913,2022-02-03 16:28:04.284,842.37,970.66,,,,,,,101,0-000,0xe2e6,,37.75,16.02,49.91,1.91,3.98,0.00,,,42122,0,5261,0,,,,,0,Satin;16000;60,Redundancy;8000;120,,,,,1,P1201;;LR,nth2,01,,,,,
2,21_01_236_988741304,Teams-2022-02-03-PTP-FernAV-PierA-Impairments.pcapng,4171557375952179528,Teams,2,192.168.100.25,50022,5.170.216.26,34188,92.223.249.51,50022,5.170.216.26,34188,Video,2022-02-03 16:13:55.185,30.90,2022-02-03 16:14:27.399,2022-02-03 16:28:04.245,816.85,970.66,,,,,,,101,0-000,0x1bc9,0x1bfb,1344.94,848.08,23.03,3.66,137.52,20.57,2.65,0.00,167223,15396,0,19730,3913,2546,0,0,0,H.264;90000;40,,H.264 FEC;90000;,H.264 PTP RTX;90000;190,,,1,P1201;;LR,nth2,01,,,,,
3,21_01_236_988741304,Teams-2022-02-07-PTPTrePPartecipanti-CONF.pcapng,4171865617886469680,Teams,0,192.168.100.25,50002,5.170.216.6,62188,92.223.249.51,50002,5.170.216.6,62188,Audio,2022-02-07 10:29:35.952,1.87,2022-02-07 10:29:42.782,2022-02-07 10:31:16.517,93.73,5852.59,,,,,,,101,0-000,0x71b5,,26.52,7.14,48.99,5.28,0.30,0.00,,,4458,0,0,0,,,,,0,Satin;16000;60,,,,,,1,P1201;;LR,nth2,01,,,,,
4,21_01_236_988741304,Teams-2022-02-07-PTPTrePPartecipanti-CONF.pcapng,4171865617886469680,Teams,1,5.170.216.6,62188,192.168.100.25,50002,5.170.216.6,62188,92.223.249.51,50002,Audio,2022-02-07 10:29:35.952,1.87,2022-02-07 10:29:42.875,2022-02-07 10:31:16.517,93.64,5852.59,,,,,,,101,0-000,0xb746,,31.00,7.67,49.14,5.15,0.35,0.00,,,4472,0,0,0,,,,,0,Satin;16000;60,,,,,,1,P1201;;LR,nth2,01,,,,,
5,21_01_236_988741304,Teams-2022-02-07-PTPTrePPartecipanti-CONF.pcapng,4171865617886469680,Teams,2,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,52.113.49.230,3480,Audio,2022-02-07 10:29:35.952,100.04,2022-02-07 10:31:16.766,2022-02-07 12:05:05.365,5628.60,5852.59,,,,,,,101,0-000,0x721a,,34.23,11.41,44.04,12.43,14.00,0.01,,,144599,0,0,505,,,,,0,Satin;16000;60,,Audio FEC;;,,,,1,P1201;;LR,nth2,01,,,,,
6,21_01_236_988741304,Teams-2022-02-07-PTPTrePPartecipanti-CONF.pcapng,4171865617886469680,Teams,3,52.113.49.230,3480,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,Audio,2022-02-07 10:29:35.952,100.04,2022-02-07 10:31:18.879,2022-02-07 12:05:06.364,5627.48,5852.59,,,,,,,101,0-000,0x6a5,,35.91,10.36,45.35,11.07,17.51,0.01,,,177379,0,0,528,,,,,0,Satin;16000;60,,Audio FEC;;,,,,1,P1201;;LR,nth2,01,,,,,
7,21_01_236_988741304,Teams-2022-02-07-PTPTrePPartecipanti-CONF.pcapng,4171865617886469680,Teams,4,52.113.49.230,3481,192.168.100.25,50043,52.113.49.230,3481,92.223.249.51,50043,Sharing,2022-02-07 10:29:35.952,100.06,2022-02-07 10:31:55.548,2022-02-07 12:05:05.284,5589.74,5852.59,,,,,,,101,0-000,0xc82,0xc83,22.14,112.82,1.23,0.42,15.36,10.11,8.48,0.00,69011,0,0,24553,11771,0,0,1,0,H.264;90000;800,,H.264 FEC;90000;,H.264;90000;810,,H.264 FEC;90000;,1,P1201;;LR,nth2,01,,,,,
8,21_01_236_988741304,Teams-2022-02-07-PTPTrePPartecipanti-CONF.pcapng,4171865617886469680,Teams,5,192.168.100.25,50053,52.113.49.230,3480,92.223.249.51,50053,52.113.49.230,3480,Data,2022-02-07 10:29:35.952,100.11,2022-02-07 10:31:55.561,2022-02-07 10:31:55.561,0.00,5852.59,,,,,,,101,0-000,0x7668,,1.14,0.00,1.00,0.00,0.00,0.00,,,1,0,0,0,,,,,0,x-data;90000;,,,,,,1,P1201;;LR,nth2,01,,,,,
9,21_01_236_988741304,Teams-2022-02-07-PTPTrePPartecipanti-CONF.pcapng,4171865617886469680,Teams,6,52.113.49.230,3480,192.168.100.25,50053,52.113.49.230,3480,92.223.249.51,50053,Data,2022-02-07 10:29:35.952,100.11,2022-02-07 10:31:56.154,2022-02-07 10:31:56.154,0.00,5852.59,,,,,,,101,0-000,0xce7,,1.14,0.00,1.00,0.00,0.00,0.00,,,1,0,0,0,,,,,0,x-data;90000;,,,,,,1,P1201;;LR,nth2,01,,,,,
