,sessionId,flow,pWStartTime,pWDuration,ip1Loc,port1Loc,ip2Loc,port2Loc,ip1Net,port1Net,ip2Net,port2Net,mediaType,avgCc,mos,mosC,vMosP,vMosR,poorScores,transportScore,locator,ssrc,auxSsrc,pType,codec,redPType,redCodec,auxPType,auxCodec,redAuxPType,redAuxCodec,routes,RTPAvgBr,RTPSdvBr,RTPMaxBr,RTPMinBr,RTPAvgFps,RTPSdvFps,RTPMaxFps,RTPMinFps,RTPAvgJitt,RTPSdvJitt,RTPMaxJitt,RTPMinJitt,RTPAvgDelta,RTPSdvDelta,RTPMaxDelta,RTPMinDelta,RTPSeenPack,RTPMissedPack,redPack,fecPack,auxSeenPack,auxMissedPack,redAuxPack,fecAuxPack,burstPackMissed,burstFreq,packReorder,RTCPSendRepPack,RTCPRecRepPack,STUNAvgRtt,STUNSdvRtt,STUNMaxRtt,STUNMinRtt,STUNBw
0,997780362290200016,8,1643381580000,10,10.8.0.14,50008,52.113.37.13,3480,92.223.249.51,50008,52.113.37.13,3480,Audio,,0.00,,,,,,,0x35d2,,108,Satin,,,,,,,,33.60,10.13,39.92,8.30,45.00,12.30,50.00,9.00,0.00,0.00,0.02,0.00,20.00,0.86,23.61,15.97,451,0,0,1,,,,,0,0,0,3,7,150.10,94.29,551.02,89.73,12000.00
1,997780362290200016,9,1643381580000,10,52.113.37.13,3480,10.8.0.14,50008,52.113.37.13,3480,92.223.249.51,50008,Audio,,0.00,,,,,,,0x3e8,,108,Satin,,,,,,,,27.31,13.53,41.17,6.93,37.38,16.06,58.00,13.00,0.79,2.20,14.07,0.00,20.36,36.93,245.17,0.04,301,0,0,2,,,,,0,0,0,3,21,150.10,94.29,551.02,89.73,12000.00
2,997780362290200016,12,1643381580000,10,52.113.37.13,3480,10.8.0.14,50035,52.113.37.13,3480,92.223.249.51,50035,Video,,0.00,,,,,,,0x3eb,0x3ec,122,H.264,,,122,H.264,,,,924.43,165.15,1228.49,692.38,29.90,3.62,37.00,24.00,1.40,2.89,14.22,0.00,6.42,26.33,273.81,0.04,1551,0,0,1,0,0,0,0,0,0,0,0,0,159.45,101.53,601.28,95.07,12000.00
3,997780362290200016,14,1643381580000,10,10.8.0.14,50035,52.113.37.13,3480,92.223.249.51,50035,52.113.37.13,3480,Video,,0.00,,,,,,,0x35d5,0x35d6,122,H.264,,,122,H.264,,,,757.75,53.71,835.53,665.05,23.30,6.97,30.00,15.00,0.01,0.01,0.04,0.00,8.75,18.22,89.21,0.03,1144,0,0,3,0,0,0,0,0,0,0,0,0,159.45,101.53,601.28,95.07,12000.00
4,997780362290200016,8,1643381590000,10,10.8.0.14,50008,52.113.37.13,3480,92.223.249.51,50008,52.113.37.13,3480,Audio,,0.00,,,,,,,0x35d2,,108,Satin,,,,,,,,35.75,3.83,39.74,28.72,49.60,1.20,50.00,46.00,0.00,0.00,0.02,0.00,20.00,0.75,23.26,17.46,497,0,0,1,,,,,0,0,0,3,8,149.05,91.45,551.02,89.73,12000.00
5,997780362290200016,9,1643381590000,10,52.113.37.13,3480,10.8.0.14,50008,52.113.37.13,3480,92.223.249.51,50008,Audio,,0.00,,,,,,,0x3e8,,108,Satin,,,,,,,,15.38,11.71,37.22,1.57,25.50,15.96,50.00,4.00,0.15,0.23,1.29,0.00,19.96,4.85,37.20,3.82,156,0,0,3,,,,,0,0,0,3,28,149.05,91.45,551.02,89.73,12000.00
6,997780362290200016,12,1643381590000,10,52.113.37.13,3480,10.8.0.14,50035,52.113.37.13,3480,92.223.249.51,50035,Video,,0.00,,,,,,,0x3eb,0x3ec,122,H.264,,,122,H.264,,,,927.73,73.82,1059.61,823.61,29.90,0.70,31.00,29.00,0.13,0.18,0.89,0.00,6.56,13.77,91.87,0.05,1519,0,0,0,0,0,0,0,0,0,0,0,0,158.06,98.54,601.28,95.07,12000.00
7,997780362290200016,14,1643381590000,10,10.8.0.14,50035,52.113.37.13,3480,92.223.249.51,50035,52.113.37.13,3480,Video,,0.00,,,,,,,0x35d5,0x35d6,122,H.264,,,122,H.264,,,,749.24,34.00,797.91,699.20,15.00,0.00,15.00,15.00,0.01,0.01,0.06,0.00,9.63,23.21,93.67,0.03,1032,0,0,1,0,0,0,0,0,0,0,0,0,158.06,98.54,601.28,95.07,12000.00
8,997780362290200016,8,1643381600000,10,10.8.0.14,50008,52.113.37.13,3480,92.223.249.51,50008,52.113.37.13,3480,Audio,,0.00,,,,,,,0x35d2,,108,Satin,,,,,,,,33.84,9.47,40.22,7.69,46.22,10.34,50.00,17.00,0.00,0.00,0.03,0.00,20.00,0.77,23.20,17.56,417,0,0,1,,,,,0,0,0,2,9,147.76,88.95,551.02,89.73,12000.00
9,997780362290200016,9,1643381600000,10,52.113.37.13,3480,10.8.0.14,50008,52.113.37.13,3480,92.223.249.51,50008,Audio,,0.00,,,,,,,0x3e8,,108,Satin,,,,,,,,28.23,11.79,44.50,13.07,39.50,9.16,50.00,26.00,0.19,0.29,2.08,0.00,19.99,6.62,52.30,0.33,400,0,0,5,,,,,0,0,0,2,21,147.76,88.95,551.02,89.73,12000.00
10,997780362290200016,12,1643381600000,10,52.113.37.13,3480,10.8.0.14,50035,52.113.37.13,3480,92.223.249.51,50035,Video,,0.00,,,,,,,0x3eb,0x3ec,122,H.264,,,122,H.264,,,,929.13,50.30,1011.38,847.70,29.90,0.54,31.00,29.00,0.13,0.17,0.84,0.00,6.69,13.48,73.62,0.04,1489,0,0,0,0,0,0,0,0,0,0,0,0,156.57,96.27,601.28,95.07,12000.00
11,997780362290200016,14,1643381600000,10,10.8.0.14,50035,52.113.37.13,3480,92.223.249.51,50035,52.113.37.13,3480,Video,,0.00,,,,,,,0x35d5,0x35d6,122,H.264,,,122,H.264,,,,747.00,33.56,816.15,700.58,15.00,0.00,15.00,15.00,0.01,0.02,0.08,0.00,9.78,23.36,91.79,0.03,1014,0,0,0,0,0,0,0,0,0,0,0,0,156.57,96.27,601.28,95.07,12000.00
12,997780362290200016,8,1643381610000,10,10.8.0.14,50008,52.113.37.13,3480,92.223.249.51,50008,52.113.37.13,3480,Audio,,0.00,,,,,,,0x35d2,,108,Satin,,,,,,,,39.23,1.29,40.71,36.64,50.00,0.00,50.00,50.00,0.00,0.00,0.02,0.00,20.00,0.88,23.80,16.77,500,0,0,0,,,,,0,0,0,3,7,147.30,86.86,551.02,89.73,12000.00
13,997780362290200016,9,1643381610000,10,52.113.37.13,3480,10.8.0.14,50008,52.113.37.13,3480,92.223.249.51,50008,Audio,,0.00,,,,,,,0x3e8,,108,Satin,,,,,,,,17.18,0.00,17.18,17.18,30.00,0.00,30.00,30.00,0.09,0.19,0.83,0.00,19.62,4.64,32.22,5.34,31,0,0,1,,,,,0,0,0,3,21,147.30,86.86,551.02,89.73,12000.00
